System,CPU Name,CPU Freq,CPU Cores,Uploaded,Platform,Single-Core Score,Multi-Core Score,URL
LENOVO 20UGS0XJ00,AMD Ryzen 5 PRO 4650U,2100,6,"Feb 21, 2025",Windows,1004.0,3810.0,https://browser.geekbench.com/v6/cpu/10660008
LENOVO 20U6S48W00,AMD Ryzen 5 PRO 4650U,2100,6,"Feb 20, 2025",Windows,1436.0,4013.0,https://browser.geekbench.com/v6/cpu/10647986
LENOVO 20U6S0J900,AMD Ryzen 5 PRO 4650U,2100,6,"Feb 20, 2025",Windows,1449.0,4959.0,https://browser.geekbench.com/v6/cpu/10644345
HP HP EliteBook 845 G7 Notebook PC,AMD Ryzen 5 PRO 4650U,2100,6,"Feb 19, 2025",Windows,1403.0,5367.0,https://browser.geekbench.com/v6/cpu/10633159
LENOVO 20UES40K00,AMD Ryzen 5 PRO 4650U,2100,6,"Feb 19, 2025",Windows,1461.0,4555.0,https://browser.geekbench.com/v6/cpu/10618763
LENOVO 20UES40K00,AMD Ryzen 5 PRO 4650U,2100,6,"Feb 18, 2025",Windows,1469.0,4427.0,https://browser.geekbench.com/v6/cpu/10611975
HP HP EliteBook 845 G7 Notebook PC,AMD Ryzen 5 PRO 4650U,2100,6,"Feb 17, 2025",Linux,1510.0,5931.0,https://browser.geekbench.com/v6/cpu/10593060
HP HP EliteBook 845 G7 Notebook PC,AMD Ryzen 5 PRO 4650U,2100,6,"Feb 17, 2025",Linux,1398.0,4051.0,https://browser.geekbench.com/v6/cpu/10592940
HP HP EliteBook 845 G7 Notebook PC,AMD Ryzen 5 PRO 4650U,2100,6,"Feb 17, 2025",Linux,1443.0,3969.0,https://browser.geekbench.com/v6/cpu/10592938
HP HP EliteBook 845 G7 Notebook PC,AMD Ryzen 5 PRO 4650U,2100,6,"Feb 17, 2025",Linux,1440.0,3903.0,https://browser.geekbench.com/v6/cpu/10592936
HP HP EliteBook 845 G7 Notebook PC,AMD Ryzen 5 PRO 4650U,2100,6,"Feb 15, 2025",Windows,1005.0,3773.0,https://browser.geekbench.com/v6/cpu/10546473
HP HP EliteBook 845 G7 Notebook PC,AMD Ryzen 5 PRO 4650U,2100,6,"Feb 13, 2025",Windows,1004.0,3720.0,https://browser.geekbench.com/v6/cpu/10509859
LENOVO 20UES3CD00,AMD Ryzen 5 PRO 4650U,2100,6,"Feb 12, 2025",Windows,1337.0,3180.0,https://browser.geekbench.com/v6/cpu/10501048
LENOVO 20UFS0JP00,AMD Ryzen 5 PRO 4650U,2100,6,"Feb 12, 2025",Linux,1249.0,4613.0,https://browser.geekbench.com/v6/cpu/10494131
LENOVO 20UFS0JP00,AMD Ryzen 5 PRO 4650U,2100,6,"Feb 12, 2025",Windows,1495.0,5016.0,https://browser.geekbench.com/v6/cpu/10493480
