System,CPU Name,CPU Freq,CPU Cores,Uploaded,Platform,Single-Core Score,Multi-Core Score,URL
LENOVO 83CV,Intel Core Ultra 5 125H,1200,14,"Mar 21, 2025",Windows,2157.0,10593.0,https://browser.geekbench.com/v6/cpu/11142064
LENOVO 83CV,Intel Core Ultra 5 125H,1200,14,"Mar 21, 2025",Windows,2102.0,7769.0,https://browser.geekbench.com/v6/cpu/11141996
LENOVO 83DA,Intel Core Ultra 5 125H,1200,14,"Mar 21, 2025",Windows,2268.0,10661.0,https://browser.geekbench.com/v6/cpu/11139610
LENOVO 83DA,Intel Core Ultra 5 125H,1200,14,"Mar 21, 2025",Windows,2146.0,6528.0,https://browser.geekbench.com/v6/cpu/11133254
HONOR MRA-XXX,Intel Core Ultra 5 125H,4500,14,"Mar 21, 2025",Linux,2312.0,11086.0,https://browser.geekbench.com/v6/cpu/11131919
ADLINK Technology Inc. cExpress-MTL,Intel Core Ultra 5 125H,2992,12,"Mar 21, 2025",Windows,2176.0,11168.0,https://browser.geekbench.com/v6/cpu/11129970
LENOVO 83CV,Intel Core Ultra 5 125H,1200,14,"Mar 20, 2025",Windows,2219.0,10861.0,https://browser.geekbench.com/v6/cpu/11122666
LENOVO 21KS000ECK,Intel Core Ultra 5 125H,4500,14,"Mar 20, 2025",Linux,2403.0,12501.0,https://browser.geekbench.com/v6/cpu/11120814
LENOVO 83DJ,Intel Core Ultra 5 125H,1200,14,"Mar 20, 2025",Windows,2068.0,7050.0,https://browser.geekbench.com/v6/cpu/11119576
ASUSTeK COMPUTER INC. ASUS Zenbook 14 UX3405MA_UX3405MA,Intel Core Ultra 5 125H,4500,14,"Mar 20, 2025",Linux,1329.0,7598.0,https://browser.geekbench.com/v6/cpu/11119419
Acer Swift SFG14-73,Intel Core Ultra 5 125H,1200,14,"Mar 20, 2025",Windows,1580.0,7360.0,https://browser.geekbench.com/v6/cpu/11117114
GMKtec NucBox K9,Intel Core Ultra 5 125H,4500,14,"Mar 20, 2025",Linux,2299.0,11139.0,https://browser.geekbench.com/v6/cpu/11115212
ASUSTeK COMPUTER INC. ASUS Zenbook 14 UX3405MA_Q415MA,Intel Core Ultra 5 125H,3600,14,"Mar 20, 2025",Windows,1586.0,6946.0,https://browser.geekbench.com/v6/cpu/11112096
Acer Swift SFG14-73,Intel Core Ultra 5 125H,1200,14,"Mar 19, 2025",Windows,2027.0,8456.0,https://browser.geekbench.com/v6/cpu/11110925
LG Electronics 14Z90S-G.AA55D,Intel Core Ultra 5 125H,1200,14,"Mar 19, 2025",Windows,2099.0,9354.0,https://browser.geekbench.com/v6/cpu/11108966
LG Electronics 14Z90S-G.AA55D,Intel Core Ultra 5 125H,1200,14,"Mar 19, 2025",Windows,2027.0,9258.0,https://browser.geekbench.com/v6/cpu/11108851
LG Electronics 16Z90S-GA5BK,Intel Core Ultra 5 125H,3600,14,"Mar 19, 2025",Windows,2018.0,7775.0,https://browser.geekbench.com/v6/cpu/11106056
"SAMSUNG ELECTRONICS CO., LTD. 940XGK",Intel Core Ultra 5 125H,3600,14,"Mar 19, 2025",Windows,1944.0,9653.0,https://browser.geekbench.com/v6/cpu/11104019
"Micro-Star International Co., Ltd. Prestige 14 AI Evo C1MG",Intel Core Ultra 5 125H,3600,14,"Mar 19, 2025",Windows,1596.0,7897.0,https://browser.geekbench.com/v6/cpu/11102767
"SAMSUNG ELECTRONICS CO., LTD. 940XGK",Intel Core Ultra 5 125H,3600,14,"Mar 19, 2025",Windows,1894.0,8796.0,https://browser.geekbench.com/v6/cpu/11102519
ASUSTeK COMPUTER INC. ASUS Vivobook S 16 S5606MA_S5606MA,Intel Core Ultra 5 125H,3600,14,"Mar 19, 2025",Windows,2174.0,10232.0,https://browser.geekbench.com/v6/cpu/11101993
LENOVO 83D4,Intel Core Ultra 5 125H,1200,14,"Mar 19, 2025",Windows,2035.0,10303.0,https://browser.geekbench.com/v6/cpu/11100010
ASUSTeK COMPUTER INC. ASUS Vivobook S 14 S5406MA_S5406MA,Intel Core Ultra 5 125H,3600,14,"Mar 19, 2025",Windows,2258.0,10408.0,https://browser.geekbench.com/v6/cpu/11099823
Dell Inc. Inspiron 13 5330,Intel Core Ultra 5 125H,3600,14,"Mar 19, 2025",Windows,1106.0,6200.0,https://browser.geekbench.com/v6/cpu/11097598
Dell Inc. Inspiron 13 5330,Intel Core Ultra 5 125H,3600,14,"Mar 19, 2025",Windows,1205.0,6257.0,https://browser.geekbench.com/v6/cpu/11097473
ASUSTeK COMPUTER INC. NUC14RVK-B,Intel Core Ultra 5 125H,3600,14,"Mar 18, 2025",Windows,2040.0,9155.0,https://browser.geekbench.com/v6/cpu/11093309
LENOVO 83CV,Intel Core Ultra 5 125H,1200,14,"Mar 18, 2025",Windows,2218.0,10623.0,https://browser.geekbench.com/v6/cpu/11089812
"Micro-Star International Co., Ltd. Prestige 13 AI Evo A1MG",Intel Core Ultra 5 125H,4500,14,"Mar 18, 2025",Linux,2298.0,9686.0,https://browser.geekbench.com/v6/cpu/11089416
ASUSTeK COMPUTER INC. ASUS EXPERTBOOK B3405CCA,Intel Core Ultra 5 125H,3600,14,"Mar 18, 2025",Windows,2182.0,10070.0,https://browser.geekbench.com/v6/cpu/11086249
LENOVO 21LD,Intel Core Ultra 5 125H,3063,14,"Mar 18, 2025",Windows,2226.0,11310.0,https://browser.geekbench.com/v6/cpu/11080826
ASUS NUC 15 Pro Plus Core Ultra 5 125H NUC14RVS-B,Intel Core Ultra 5 125H,3600,14,"Mar 17, 2025",Windows,2148.0,11797.0,https://browser.geekbench.com/v6/cpu/11077370
LENOVO 83DA,Intel Core Ultra 5 125H,1200,14,"Mar 17, 2025",Windows,2228.0,11543.0,https://browser.geekbench.com/v6/cpu/11075079
LENOVO 83DA,Intel Core Ultra 5 125H,1200,14,"Mar 17, 2025",Windows,2188.0,8105.0,https://browser.geekbench.com/v6/cpu/11074993
LENOVO 83D2,Intel Core Ultra 5 125H,2993,14,"Mar 17, 2025",Windows,2247.0,9953.0,https://browser.geekbench.com/v6/cpu/11071336
Microsoft Corporation Virtual Machine,Intel Core Ultra 5 125H,2995,2,"Mar 17, 2025",Windows,1035.0,1433.0,https://browser.geekbench.com/v6/cpu/11070478
ASUSTeK COMPUTER INC. ASUS Zenbook 14 UX3405MA_Q415MA,Intel Core Ultra 5 125H,3600,14,"Mar 17, 2025",Windows,2153.0,10888.0,https://browser.geekbench.com/v6/cpu/11069498
ASUSTeK COMPUTER INC. ASUS Zenbook 14 UX3405MA_Q415MA,Intel Core Ultra 5 125H,3600,14,"Mar 17, 2025",Windows,2189.0,11009.0,https://browser.geekbench.com/v6/cpu/11069356
