System,CPU Name,CPU Freq,CPU Cores,Uploaded,Platform,Single-Core Score,Multi-Core Score,URL
Dell Inc. Latitude 5450,Intel Core Ultra 5 125U,2694,12,"Mar 21, 2025",Windows,1283.0,6577.0,https://browser.geekbench.com/v6/cpu/11142110
LENOVO 83DJ,Intel Core Ultra 5 125U,1300,12,"Mar 21, 2025",Windows,1421.0,5350.0,https://browser.geekbench.com/v6/cpu/11139320
Dell Inc. Latitude 5450,Intel Core Ultra 5 125U,2694,12,"Mar 21, 2025",Windows,2199.0,8850.0,https://browser.geekbench.com/v6/cpu/11139079
LENOVO 21L1002KRI,Intel Core Ultra 5 125U,1300,12,"Mar 21, 2025",Windows,2017.0,5185.0,https://browser.geekbench.com/v6/cpu/11138540
LENOVO 21L1002KRI,Intel Core Ultra 5 125U,1300,12,"Mar 21, 2025",Windows,1990.0,8145.0,https://browser.geekbench.com/v6/cpu/11130944
LENOVO 21L1002KRI,Intel Core Ultra 5 125U,1300,12,"Mar 21, 2025",Windows,2029.0,7976.0,https://browser.geekbench.com/v6/cpu/11130896
LENOVO 21LNS20M00,Intel Core Ultra 5 125U,1300,12,"Mar 21, 2025",Windows,2076.0,9129.0,https://browser.geekbench.com/v6/cpu/11130689
LENOVO 83DL,Intel Core Ultra 5 125U,1300,12,"Mar 21, 2025",Windows,2050.0,7113.0,https://browser.geekbench.com/v6/cpu/11130602
FUJITSU CLIENT COMPUTING LIMITED FMVUH03003,Intel Core Ultra 5 125U,2700,12,"Mar 20, 2025",Windows,2110.0,8996.0,https://browser.geekbench.com/v6/cpu/11125479
FUJITSU CLIENT COMPUTING LIMITED FMVUH03003,Intel Core Ultra 5 125U,2700,12,"Mar 20, 2025",Windows,2021.0,5632.0,https://browser.geekbench.com/v6/cpu/11125317
HP HP EliteBook 840 14 inch G11 Notebook PC,Intel Core Ultra 5 125U,1300,12,"Mar 20, 2025",Windows,2023.0,8279.0,https://browser.geekbench.com/v6/cpu/11123762
Acer Swift SFG16-72,Intel Core Ultra 5 125U,1300,12,"Mar 20, 2025",Windows,2105.0,8983.0,https://browser.geekbench.com/v6/cpu/11118133
HP HP Pavilion Laptop 16-af0xxx,Intel Core Ultra 5 125U,1300,12,"Mar 20, 2025",Windows,2186.0,9373.0,https://browser.geekbench.com/v6/cpu/11114862
HP sbSPcH6FpAw==,Intel Core Ultra 5 125U,4300,12,"Mar 19, 2025",Linux,2196.0,8003.0,https://browser.geekbench.com/v6/cpu/11111421
HP sbSPcH6FpAw==,Intel Core Ultra 5 125U,4300,12,"Mar 19, 2025",Linux,2162.0,6085.0,https://browser.geekbench.com/v6/cpu/11105495
HP HP EliteBook 840 14 inch G11 Notebook PC,Intel Core Ultra 5 125U,1300,12,"Mar 19, 2025",Windows,2181.0,9151.0,https://browser.geekbench.com/v6/cpu/11104148
LENOVO 21L2S1VQ00,Intel Core Ultra 5 125U,1300,12,"Mar 18, 2025",Windows,2053.0,8078.0,https://browser.geekbench.com/v6/cpu/11092285
LENOVO 21KCCTO1WW,Intel Core Ultra 5 125U,1300,12,"Mar 18, 2025",Windows,2119.0,8777.0,https://browser.geekbench.com/v6/cpu/11091454
LENOVO 21KCCTO1WW,Intel Core Ultra 5 125U,1300,12,"Mar 18, 2025",Windows,1944.0,7870.0,https://browser.geekbench.com/v6/cpu/11091320
LENOVO 21KCCTO1WW,Intel Core Ultra 5 125U,1300,12,"Mar 18, 2025",Windows,1642.0,3503.0,https://browser.geekbench.com/v6/cpu/11091251
LENOVO 21KCCTO1WW,Intel Core Ultra 5 125U,1300,12,"Mar 18, 2025",Windows,1752.0,5767.0,https://browser.geekbench.com/v6/cpu/11090985
