System,CPU Name,CPU Freq,CPU Cores,Uploaded,Platform,Single-Core Score,Multi-Core Score,URL
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1496,4,"Mar 20, 2025",Windows,1535.0,4862.0,https://browser.geekbench.com/v6/cpu/11126708
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1496,4,"Mar 20, 2025",Windows,916.0,4679.0,https://browser.geekbench.com/v6/cpu/11126635
"SAMSUNG ELECTRONICS CO., LTD. 930QCG",Intel Core i5-1035G4,1496,4,"Mar 20, 2025",Windows,915.0,2303.0,https://browser.geekbench.com/v6/cpu/11121437
"SAMSUNG ELECTRONICS CO., LTD. 930QCG",Intel Core i5-1035G4,1496,4,"Mar 20, 2025",Windows,757.0,2080.0,https://browser.geekbench.com/v6/cpu/11120012
"SAMSUNG ELECTRONICS CO., LTD. 930QCG",Intel Core i5-1035G4,1496,4,"Mar 19, 2025",Windows,877.0,2454.0,https://browser.geekbench.com/v6/cpu/11104539
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1498,4,"Mar 19, 2025",Windows,1518.0,3303.0,https://browser.geekbench.com/v6/cpu/11097075
HP HP Spectre x360 Convertible 13-aw0003dx,Intel Core i5-1035G4,1496,4,"Mar 18, 2025",Windows,1328.0,3105.0,https://browser.geekbench.com/v6/cpu/11082800
HP HP Spectre x360 Convertible 13-aw0003dx,Intel Core i5-1035G4,1496,4,"Mar 17, 2025",Windows,912.0,2828.0,https://browser.geekbench.com/v6/cpu/11068372
LENOVO 81Q9,Intel Core i5-1035G4,3700,4,"Mar 16, 2025",Linux,1414.0,4697.0,https://browser.geekbench.com/v6/cpu/11061169
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1496,4,"Mar 16, 2025",Windows,1502.0,5039.0,https://browser.geekbench.com/v6/cpu/11049919
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1496,4,"Mar 16, 2025",Windows,1223.0,3582.0,https://browser.geekbench.com/v6/cpu/11047446
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1496,4,"Mar 15, 2025",Windows,1489.0,3676.0,https://browser.geekbench.com/v6/cpu/11041410
"MacBookPro16,2",Intel Core i5-1035G4,1500,4,"Mar 13, 2025",macOS,1472.0,4473.0,https://browser.geekbench.com/v6/cpu/11002703
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1496,4,"Mar 12, 2025",Windows,1468.0,3671.0,https://browser.geekbench.com/v6/cpu/10993582
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1496,4,"Mar 12, 2025",Windows,1062.0,2669.0,https://browser.geekbench.com/v6/cpu/10993497
HP HP Spectre x360 Convertible 13-aw0xxx,Intel Core i5-1035G4,1496,4,"Mar 11, 2025",Windows,1564.0,3450.0,https://browser.geekbench.com/v6/cpu/10971134
HP HP Spectre x360 Convertible 13-aw0xxx,Intel Core i5-1035G4,1496,4,"Mar 11, 2025",Windows,1424.0,3573.0,https://browser.geekbench.com/v6/cpu/10971020
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1498,4,"Mar 09, 2025",Windows,1470.0,4076.0,https://browser.geekbench.com/v6/cpu/10937592
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1498,4,"Mar 09, 2025",Windows,814.0,2967.0,https://browser.geekbench.com/v6/cpu/10936188
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1498,4,"Mar 09, 2025",Windows,1568.0,4991.0,https://browser.geekbench.com/v6/cpu/10936049
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1498,4,"Mar 09, 2025",Windows,1569.0,4898.0,https://browser.geekbench.com/v6/cpu/10935530
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1498,4,"Mar 09, 2025",Windows,1543.0,4926.0,https://browser.geekbench.com/v6/cpu/10935015
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1498,4,"Mar 09, 2025",Windows,879.0,2126.0,https://browser.geekbench.com/v6/cpu/10934514
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1498,4,"Mar 08, 2025",Windows,973.0,2919.0,https://browser.geekbench.com/v6/cpu/10928201
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1498,4,"Mar 06, 2025",Windows,1562.0,4549.0,https://browser.geekbench.com/v6/cpu/10896567
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1498,4,"Mar 06, 2025",Windows,1568.0,5021.0,https://browser.geekbench.com/v6/cpu/10896566
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1498,4,"Mar 05, 2025",Windows,1353.0,3686.0,https://browser.geekbench.com/v6/cpu/10873196
Acer Spin SP513-54N,Intel Core i5-1035G4,1496,4,"Mar 03, 2025",Windows,846.0,2414.0,https://browser.geekbench.com/v6/cpu/10835471
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1498,4,"Mar 01, 2025",Windows,1393.0,3940.0,https://browser.geekbench.com/v6/cpu/10812712
LENOVO 81Q9,Intel Core i5-1035G4,1497,4,"Mar 01, 2025",Windows,1557.0,4161.0,https://browser.geekbench.com/v6/cpu/10807317
Dell Inc. Inspiron 3493,Intel Core i5-1035G4,1496,4,"Feb 28, 2025",Windows,1319.0,2611.0,https://browser.geekbench.com/v6/cpu/10797000
LENOVO 81W8,Intel Core i5-1035G4,3700,4,"Feb 28, 2025",Linux,1613.0,3531.0,https://browser.geekbench.com/v6/cpu/10788153
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1496,4,"Feb 27, 2025",Windows,1085.0,2228.0,https://browser.geekbench.com/v6/cpu/10774696
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,3700,4,"Feb 26, 2025",Linux,1714.0,5475.0,https://browser.geekbench.com/v6/cpu/10754424
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1496,4,"Feb 26, 2025",Windows,969.0,3206.0,https://browser.geekbench.com/v6/cpu/10751745
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1496,4,"Feb 25, 2025",Windows,1556.0,4973.0,https://browser.geekbench.com/v6/cpu/10741336
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1496,4,"Feb 24, 2025",Windows,1216.0,2907.0,https://browser.geekbench.com/v6/cpu/10725641
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,1496,4,"Feb 24, 2025",Windows,867.0,1956.0,https://browser.geekbench.com/v6/cpu/10725483
Microsoft Corporation Surface Pro 7,Intel Core i5-1035G4,3700,4,"Feb 24, 2025",Linux,1675.0,5335.0,https://browser.geekbench.com/v6/cpu/10723343
