System,CPU Name,CPU Freq,CPU Cores,Uploaded,Platform,Single-Core Score,Multi-Core Score,URL
LENOVO 82QD,Intel Core i5-1235U,1300,10,"Mar 22, 2025",Windows,2050.0,5136.0,https://browser.geekbench.com/v6/cpu/11144305
LENOVO 82QD,Intel Core i5-1235U,1300,10,"Mar 22, 2025",Windows,2048.0,5068.0,https://browser.geekbench.com/v6/cpu/11144206
LENOVO 82QD,Intel Core i5-1235U,1300,10,"Mar 21, 2025",Windows,2038.0,5263.0,https://browser.geekbench.com/v6/cpu/11143869
LENOVO 82QD,Intel Core i5-1235U,1300,10,"Mar 21, 2025",Windows,2045.0,5032.0,https://browser.geekbench.com/v6/cpu/11143812
"SAMSUNG ELECTRONICS CO., LTD. 750XED",Intel Core i5-1235U,1300,10,"Mar 21, 2025",Windows,2196.0,7941.0,https://browser.geekbench.com/v6/cpu/11143800
HP HP Laptop 14-dq5xxx,Intel Core i5-1235U,1300,10,"Mar 21, 2025",Windows,893.0,2937.0,https://browser.geekbench.com/v6/cpu/11142681
N/A,Intel Core i5-1235U,2496,6,"Mar 21, 2025",Linux,2166.0,7849.0,https://browser.geekbench.com/v6/cpu/11139976
ASUSTeK COMPUTER INC. MINIPC PL64,Intel Core i5-1235U,4400,10,"Mar 21, 2025",Linux,2361.0,7077.0,https://browser.geekbench.com/v6/cpu/11139758
HP HP Laptop 15s-fq5xxx,Intel Core i5-1235U,1300,10,"Mar 21, 2025",Windows,1868.0,6034.0,https://browser.geekbench.com/v6/cpu/11137597
HP HP Laptop 15s-fq5xxx,Intel Core i5-1235U,1300,10,"Mar 21, 2025",Windows,2055.0,5954.0,https://browser.geekbench.com/v6/cpu/11137094
Google brya,Intel Core i5-1235U,2496,12,"Mar 21, 2025",Android,1887.0,7249.0,https://browser.geekbench.com/v6/cpu/11135952
Google brya,Intel Core i5-1235U,2496,12,"Mar 21, 2025",Android,1877.0,7201.0,https://browser.geekbench.com/v6/cpu/11135871
Google brya,Intel Core i5-1235U,2496,12,"Mar 21, 2025",Android,1870.0,7217.0,https://browser.geekbench.com/v6/cpu/11135792
Google brya,Intel Core i5-1235U,2496,12,"Mar 21, 2025",Android,1872.0,7273.0,https://browser.geekbench.com/v6/cpu/11135724
Google brya,Intel Core i5-1235U,2496,12,"Mar 21, 2025",Android,1862.0,7184.0,https://browser.geekbench.com/v6/cpu/11135591
Dell Inc. Inspiron 15 3520,Intel Core i5-1235U,1300,10,"Mar 21, 2025",Windows,1671.0,3209.0,https://browser.geekbench.com/v6/cpu/11134086
Acer Aspire A324-51,Intel Core i5-1235U,1300,10,"Mar 21, 2025",Windows,1854.0,4796.0,https://browser.geekbench.com/v6/cpu/11132877
"SAMSUNG ELECTRONICS CO., LTD. 750XED",Intel Core i5-1235U,1300,10,"Mar 21, 2025",Windows,2182.0,7868.0,https://browser.geekbench.com/v6/cpu/11131379
"SAMSUNG ELECTRONICS CO., LTD. 750XED",Intel Core i5-1235U,1300,10,"Mar 21, 2025",Windows,1814.0,7657.0,https://browser.geekbench.com/v6/cpu/11131311
ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop X1605ZA_X1605ZA,Intel Core i5-1235U,1300,10,"Mar 21, 2025",Windows,2158.0,6842.0,https://browser.geekbench.com/v6/cpu/11128904
ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop X1605ZA_X1605ZA,Intel Core i5-1235U,1300,10,"Mar 21, 2025",Windows,2154.0,6906.0,https://browser.geekbench.com/v6/cpu/11128758
ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop X1605ZA_X1605ZA,Intel Core i5-1235U,1300,10,"Mar 21, 2025",Windows,2144.0,6916.0,https://browser.geekbench.com/v6/cpu/11128709
Dell Inc. Inspiron 15 3520,Intel Core i5-1235U,1300,10,"Mar 21, 2025",Windows,1690.0,6248.0,https://browser.geekbench.com/v6/cpu/11128279
LENOVO 82R7,Intel Core i5-1235U,1300,10,"Mar 21, 2025",Windows,2130.0,8361.0,https://browser.geekbench.com/v6/cpu/11127979
LENOVO 82VY,Intel Core i5-1235U,1300,10,"Mar 21, 2025",Windows,2069.0,4219.0,https://browser.geekbench.com/v6/cpu/11127767
Acer Aspire A315-59,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,1482.0,6147.0,https://browser.geekbench.com/v6/cpu/11125873
HP HP ProBook 440 14 inch G9 Notebook PC,Intel Core i5-1235U,2493,10,"Mar 20, 2025",Windows,1711.0,4638.0,https://browser.geekbench.com/v6/cpu/11124380
ASUSTeK COMPUTER INC. MINIPC PL64,Intel Core i5-1235U,4400,6,"Mar 20, 2025",Linux,2227.0,5432.0,https://browser.geekbench.com/v6/cpu/11124328
ASUSTeK COMPUTER INC. MINIPC PL64,Intel Core i5-1235U,4400,10,"Mar 20, 2025",Linux,2245.0,5716.0,https://browser.geekbench.com/v6/cpu/11123167
ASUSTeK COMPUTER INC. MINIPC PL64,Intel Core i5-1235U,4400,10,"Mar 20, 2025",Linux,2266.0,5646.0,https://browser.geekbench.com/v6/cpu/11122996
ASUSTeK COMPUTER INC. MINIPC PL64,Intel Core i5-1235U,4400,10,"Mar 20, 2025",Linux,1990.0,5129.0,https://browser.geekbench.com/v6/cpu/11122918
ASUSTeK COMPUTER INC. MINIPC PL64,Intel Core i5-1235U,4400,10,"Mar 20, 2025",Linux,2107.0,4677.0,https://browser.geekbench.com/v6/cpu/11122912
HP HP Pavilion x360 2-in-1 Laptop 14-ek0xxx,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,2101.0,6390.0,https://browser.geekbench.com/v6/cpu/11121320
Yashi Italy SRL VICTORY,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,2112.0,6176.0,https://browser.geekbench.com/v6/cpu/11120827
TUXEDO TUXEDO Aura 14 Gen3,Intel Core i5-1235U,4400,10,"Mar 20, 2025",Linux,1831.0,5999.0,https://browser.geekbench.com/v6/cpu/11120556
TUXEDO TUXEDO Aura 14 Gen3,Intel Core i5-1235U,4400,10,"Mar 20, 2025",Linux,2031.0,6202.0,https://browser.geekbench.com/v6/cpu/11120504
Infinix INBOOK X3,Intel Core i5-1235U,2493,10,"Mar 20, 2025",Windows,2230.0,4381.0,https://browser.geekbench.com/v6/cpu/11119972
Infinix INBOOK X3,Intel Core i5-1235U,2493,10,"Mar 20, 2025",Windows,1296.0,5641.0,https://browser.geekbench.com/v6/cpu/11119832
Microsoft Corporation Surface Laptop 5,Intel Core i5-1235U,2500,10,"Mar 20, 2025",Windows,1970.0,4264.0,https://browser.geekbench.com/v6/cpu/11118426
Microsoft Corporation Surface Laptop 5,Intel Core i5-1235U,2500,10,"Mar 20, 2025",Windows,2023.0,4585.0,https://browser.geekbench.com/v6/cpu/11118281
Dell Inc. Latitude 3540,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,1578.0,6379.0,https://browser.geekbench.com/v6/cpu/11118236
Dell Inc. Latitude 3540,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,1647.0,6276.0,https://browser.geekbench.com/v6/cpu/11117852
HP HP Laptop 15s-fq5xxx,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,2168.0,3689.0,https://browser.geekbench.com/v6/cpu/11117539
ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop X1605ZA_X1605ZA,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,1810.0,6201.0,https://browser.geekbench.com/v6/cpu/11116923
ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop X1605ZA_X1605ZA,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,1445.0,4918.0,https://browser.geekbench.com/v6/cpu/11116856
Dell Inc. Inspiron 15 3520,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,1903.0,5992.0,https://browser.geekbench.com/v6/cpu/11116790
ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop X1605ZA_X1605ZA,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,1566.0,5460.0,https://browser.geekbench.com/v6/cpu/11116688
ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop X1605ZA_X1605ZA,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,1580.0,5397.0,https://browser.geekbench.com/v6/cpu/11116642
ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop X1605ZA_X1605ZA,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,1583.0,5634.0,https://browser.geekbench.com/v6/cpu/11116450
HP HP Laptop 15s-fq5xxx,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,2245.0,6729.0,https://browser.geekbench.com/v6/cpu/11115629
Futuzen M502,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,1969.0,5721.0,https://browser.geekbench.com/v6/cpu/11114895
Dell Inc. Latitude 3440,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,2068.0,6548.0,https://browser.geekbench.com/v6/cpu/11114298
Dell Inc. Latitude 3440,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,2093.0,6601.0,https://browser.geekbench.com/v6/cpu/11114244
ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop X1605ZA_X1605ZA,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,2134.0,6775.0,https://browser.geekbench.com/v6/cpu/11113425
ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop X1605ZA_X1605ZA,Intel Core i5-1235U,1300,10,"Mar 20, 2025",Windows,1952.0,6391.0,https://browser.geekbench.com/v6/cpu/11113369
LENOVO 21AH0091MX,Intel Core i5-1235U,4400,10,"Mar 19, 2025",Linux,2352.0,8388.0,https://browser.geekbench.com/v6/cpu/11108796
LENOVO 21AH0091MX,Intel Core i5-1235U,4400,10,"Mar 19, 2025",Linux,2325.0,6447.0,https://browser.geekbench.com/v6/cpu/11108662
ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop X1504ZA_F1504ZA,Intel Core i5-1235U,2493,10,"Mar 19, 2025",Windows,1385.0,5163.0,https://browser.geekbench.com/v6/cpu/11108015
HP HP Laptop 15s-fq5xxx,Intel Core i5-1235U,2493,10,"Mar 19, 2025",Windows,2268.0,5985.0,https://browser.geekbench.com/v6/cpu/11106934
ASUSTeK COMPUTER INC. Vivobook_ASUSLaptop X1504ZA_X1504ZA,Intel Core i5-1235U,1300,10,"Mar 19, 2025",Windows,1349.0,4823.0,https://browser.geekbench.com/v6/cpu/11105218
Google brya,Intel Core i5-1235U,2496,12,"Mar 19, 2025",Android,1821.0,6690.0,https://browser.geekbench.com/v6/cpu/11104998
LENOVO 82RL jacdugarai,Intel Core i5-1235U,1300,10,"Mar 19, 2025",Windows,1825.0,4901.0,https://browser.geekbench.com/v6/cpu/11104805
samsung SM-S9280,Intel Core i5-1235U,2865,8,"Mar 19, 2025",Android,1381.0,3802.0,https://browser.geekbench.com/v6/cpu/11104763
HP HP Pavilion Laptop 15-eg2xxx,Intel Core i5-1235U,1300,10,"Mar 19, 2025",Windows,2155.0,8030.0,https://browser.geekbench.com/v6/cpu/11104721
HP HP Pavilion Laptop 15-eg2xxx,Intel Core i5-1235U,1300,10,"Mar 19, 2025",Windows,1991.0,7634.0,https://browser.geekbench.com/v6/cpu/11104609
Google brya,Intel Core i5-1235U,2496,12,"Mar 19, 2025",Android,1828.0,6877.0,https://browser.geekbench.com/v6/cpu/11104344
Google brya,Intel Core i5-1235U,2496,12,"Mar 19, 2025",Android,1827.0,6055.0,https://browser.geekbench.com/v6/cpu/11103704
LENOVO 21E4S3PF00,Intel Core i5-1235U,4400,10,"Mar 19, 2025",Linux,1921.0,6307.0,https://browser.geekbench.com/v6/cpu/11103429
LENOVO 21E4S3PF00,Intel Core i5-1235U,4400,10,"Mar 19, 2025",Linux,1128.0,2953.0,https://browser.geekbench.com/v6/cpu/11103355
