System,CPU Name,CPU Freq,CPU Cores,Uploaded,Platform,Single-Core Score,Multi-Core Score,URL
Dell Inc. Precision 7740,Intel Core i5-9400H,2496,4,"Feb 08, 2025",Windows,1445.0,4892.0,https://browser.geekbench.com/v6/cpu/10412828
Dell Inc. Precision 7740,Intel Core i5-9400H,2496,4,"Feb 07, 2025",Windows,1441.0,4725.0,https://browser.geekbench.com/v6/cpu/10384300
"MacBookPro16,3",Intel Core i5-9400H,2500,4,"Feb 05, 2025",macOS,1430.0,4750.0,https://browser.geekbench.com/v6/cpu/10316543
"MacBookPro16,3",Intel Core i5-9400H,2500,4,"Feb 05, 2025",macOS,1431.0,4813.0,https://browser.geekbench.com/v6/cpu/10315130
Dell Inc. Latitude 5501,Intel Core i5-9400H,2496,4,"Feb 02, 2025",Windows,1404.0,4480.0,https://browser.geekbench.com/v6/cpu/10246651
Dell Inc. Latitude 5401,Intel Core i5-9400H,2496,4,"Feb 01, 2025",Windows,1435.0,4533.0,https://browser.geekbench.com/v6/cpu/10244057
Dell Inc. Latitude 5401,Intel Core i5-9400H,2496,4,"Feb 01, 2025",Windows,1430.0,4551.0,https://browser.geekbench.com/v6/cpu/10243969
Dell Inc. Latitude 5401,Intel Core i5-9400H,2496,4,"Feb 01, 2025",Windows,1281.0,3054.0,https://browser.geekbench.com/v6/cpu/10243880
Dell Inc. Latitude 5401,Intel Core i5-9400H,2496,4,"Feb 01, 2025",Windows,1433.0,4557.0,https://browser.geekbench.com/v6/cpu/10243782
Dell Inc. Latitude 5401,Intel Core i5-9400H,2496,4,"Feb 01, 2025",Windows,1433.0,4523.0,https://browser.geekbench.com/v6/cpu/10243701
Dell Inc. Latitude 5401,Intel Core i5-9400H,2496,4,"Feb 01, 2025",Windows,1432.0,4559.0,https://browser.geekbench.com/v6/cpu/10243576
Dell Inc. Latitude 5401,Intel Core i5-9400H,2496,4,"Feb 01, 2025",Windows,1409.0,4307.0,https://browser.geekbench.com/v6/cpu/10243318
Dell Inc. Latitude 5401,Intel Core i5-9400H,2496,4,"Feb 01, 2025",Windows,1417.0,4330.0,https://browser.geekbench.com/v6/cpu/10243244
Dell Inc. Latitude 5401,Intel Core i5-9400H,2493,4,"Jan 31, 2025",Windows,1370.0,3975.0,https://browser.geekbench.com/v6/cpu/10220134
Dell Inc. Latitude 5401,Intel Core i5-9400H,2492,4,"Jan 31, 2025",Windows,879.0,2922.0,https://browser.geekbench.com/v6/cpu/10219648
Dell Inc. Latitude 5401,Intel Core i5-9400H,2493,4,"Jan 31, 2025",Windows,786.0,2424.0,https://browser.geekbench.com/v6/cpu/10218656
Dell Inc. Latitude 5401,Intel Core i5-9400H,2492,4,"Jan 31, 2025",Windows,885.0,2918.0,https://browser.geekbench.com/v6/cpu/10217785
Dell Inc. Latitude 5401,Intel Core i5-9400H,2492,4,"Jan 31, 2025",Windows,859.0,2918.0,https://browser.geekbench.com/v6/cpu/10217633
Dell Inc. Precision 7740,Intel Core i5-9400H,2495,4,"Jan 30, 2025",Windows,883.0,3218.0,https://browser.geekbench.com/v6/cpu/10195678
Dell Inc. Latitude 5401,Intel Core i5-9400H,2493,4,"Jan 19, 2025",Windows,1444.0,4363.0,https://browser.geekbench.com/v6/cpu/10003432
Dell Inc. Latitude 5401,Intel Core i5-9400H,2493,4,"Jan 18, 2025",Windows,1453.0,4545.0,https://browser.geekbench.com/v6/cpu/10000785
Dell Inc. Precision 7540,Intel Core i5-9400H,2496,4,"Jan 16, 2025",Windows,1465.0,4479.0,https://browser.geekbench.com/v6/cpu/9955769
Dell Inc. Latitude 5501,Intel Core i5-9400H,2495,4,"Jan 11, 2025",Windows,1373.0,4315.0,https://browser.geekbench.com/v6/cpu/9889254
Dell Inc. Latitude 5401,Intel Core i5-9400H,2492,4,"Jan 09, 2025",Windows,1449.0,4356.0,https://browser.geekbench.com/v6/cpu/9841772
Dell Inc. Precision 7540,Intel Core i5-9400H,4300,4,"Jan 06, 2025",Linux,1541.0,4940.0,https://browser.geekbench.com/v6/cpu/9801185
Dell Inc. Latitude 5401,Intel Core i5-9400H,2492,4,"Jan 03, 2025",Windows,1447.0,4426.0,https://browser.geekbench.com/v6/cpu/9752369
Dell Inc. Latitude 5401,Intel Core i5-9400H,2492,4,"Jan 03, 2025",Windows,1449.0,4466.0,https://browser.geekbench.com/v6/cpu/9752281
Dell Inc. Latitude 5401,Intel Core i5-9400H,2492,4,"Jan 03, 2025",Windows,1449.0,4409.0,https://browser.geekbench.com/v6/cpu/9752058
Dell Inc. Latitude 5501,Intel Core i5-9400H,2493,4,"Dec 27, 2024",Windows,1414.0,4828.0,https://browser.geekbench.com/v6/cpu/9639292
Dell Inc. Latitude 5501,Intel Core i5-9400H,2494,4,"Dec 27, 2024",Windows,1445.0,4854.0,https://browser.geekbench.com/v6/cpu/9631016
Dell Inc. Latitude 5501,Intel Core i5-9400H,2494,4,"Dec 27, 2024",Windows,1428.0,4768.0,https://browser.geekbench.com/v6/cpu/9630859
Dell Inc. Latitude 5501,Intel Core i5-9400H,2495,4,"Dec 24, 2024",Windows,1412.0,3322.0,https://browser.geekbench.com/v6/cpu/9588954
Dell Inc. Latitude 5501,Intel Core i5-9400H,2493,4,"Dec 21, 2024",Windows,1291.0,4134.0,https://browser.geekbench.com/v6/cpu/9537740
Dell Inc. Precision 3541,Intel Core i5-9400H,2493,4,"Dec 19, 2024",Windows,1014.0,3037.0,https://browser.geekbench.com/v6/cpu/9506789
Dell Inc. Precision 7740,Intel Core i5-9400H,2496,4,"Dec 17, 2024",Windows,1491.0,4865.0,https://browser.geekbench.com/v6/cpu/9472734
Dell Inc. Precision 3541,Intel Core i5-9400H,2493,4,"Dec 17, 2024",Windows,1441.0,4466.0,https://browser.geekbench.com/v6/cpu/9467401
Dell Inc. Latitude 5401,Intel Core i5-9400H,2496,4,"Dec 15, 2024",Windows,1356.0,3448.0,https://browser.geekbench.com/v6/cpu/9447373
Dell Inc. Precision 3541,Intel Core i5-9400H,2495,4,"Dec 15, 2024",Windows,1414.0,4295.0,https://browser.geekbench.com/v6/cpu/9442655
Dell Inc. Latitude 5401,Intel Core i5-9400H,2493,4,"Dec 13, 2024",Windows,1496.0,4813.0,https://browser.geekbench.com/v6/cpu/9408388
Dell Inc. Latitude 5401,Intel Core i5-9400H,2493,4,"Dec 13, 2024",Windows,1492.0,4775.0,https://browser.geekbench.com/v6/cpu/9408305
Dell Inc. Latitude 5401,Intel Core i5-9400H,2493,4,"Dec 13, 2024",Windows,1494.0,4810.0,https://browser.geekbench.com/v6/cpu/9408227
Dell Inc. Latitude 5401,Intel Core i5-9400H,2493,4,"Dec 13, 2024",Windows,1471.0,4688.0,https://browser.geekbench.com/v6/cpu/9408184
Dell Inc. Precision 7740,Intel Core i5-9400H,2493,4,"Dec 13, 2024",Windows,1447.0,4525.0,https://browser.geekbench.com/v6/cpu/9401993
Dell Inc. Precision 3541,Intel Core i5-9400H,2493,4,"Dec 13, 2024",Windows,1419.0,4279.0,https://browser.geekbench.com/v6/cpu/9395518
Dell Inc. Precision 3541,Intel Core i5-9400H,4300,4,"Dec 12, 2024",Linux,1382.0,3798.0,https://browser.geekbench.com/v6/cpu/9390290
Dell Inc. Latitude 5401,Intel Core i5-9400H,2493,4,"Dec 12, 2024",Windows,1461.0,4676.0,https://browser.geekbench.com/v6/cpu/9388585
Dell Inc. Precision 7740,Intel Core i5-9400H,2493,4,"Dec 11, 2024",Windows,1502.0,4515.0,https://browser.geekbench.com/v6/cpu/9365660
Dell Inc. Precision 7740,Intel Core i5-9400H,2493,4,"Dec 11, 2024",Windows,1501.0,4952.0,https://browser.geekbench.com/v6/cpu/9365546
Dell Inc. Precision 3541,Intel Core i5-9400H,2493,4,"Dec 11, 2024",Windows,1416.0,4213.0,https://browser.geekbench.com/v6/cpu/9357210
LENOVO 20QN000MUK,Intel Core i5-9400H,2496,4,"Dec 10, 2024",Windows,1465.0,4229.0,https://browser.geekbench.com/v6/cpu/9352666
Dell Inc. Precision 7740,Intel Core i5-9400H,2492,4,"Dec 10, 2024",Windows,1478.0,4876.0,https://browser.geekbench.com/v6/cpu/9349572
LENOVO 20QN000MUK,Intel Core i5-9400H,2496,4,"Dec 08, 2024",Windows,1444.0,4246.0,https://browser.geekbench.com/v6/cpu/9318653
LENOVO 20QN000MUK,Intel Core i5-9400H,2496,4,"Dec 08, 2024",Windows,1405.0,4224.0,https://browser.geekbench.com/v6/cpu/9318549
LENOVO 20QN000MUK,Intel Core i5-9400H,2496,4,"Dec 08, 2024",Windows,1416.0,4097.0,https://browser.geekbench.com/v6/cpu/9318288
