Offer,Price,Designer,Series,CPU,CPU Age,RAM,SSD,Screen resolution,Condition,Active,GB6 Single,GB6 Multi,GB6 Single/€,GB6 Multi/€,ITJustGood
T470S 256GB Good,190.0,Lenovo,ThinkPad T470S,Intel Core i5-7300U,8.2,16.0,256.0,1920x1080,Good,True,1088.0,2030.0,5.7,10.7,https://www.itjustgood.com/ultrabook-lenovo-thinkpad-t470s-reconditionne-intel-core-i5-7200u-16go-ddr4-256go-ssd-nvme-thunderbolt-3-windows-10-14-full-hd-tactile-0btd8993.html
Latitude 5480 240 GB Good,210.0,Dell,Latitude 5480,Intel Core i5-6200U,9.7,16.0,240.0,1920x1080,Good,True,916.0,1832.0,4.4,8.7,https://www.itjustgood.com/ordinateur-portable-reconditionne-dell-latitude-5480-intel-core-i5-6200u-16go-ssd-240go-ssd-14-pouces-windows-10-etat-correct-0btd9323.html
Dell Latitude 5400,250.0,Dell,Latitude 5400,Intel Core i5-8365U,6.0,16.0,240.0,1920x1080,Good,True,1270.0,3167.0,5.1,12.7,https://www.itjustgood.com/ordinateur-portable-reconditionne-declasse-dell-latitude-5490-intel-core-i5-8350u-16go-ssd-240go-ssd-14-pouces-windows11-0btd9330.html
Dell Latitude 5400,270.0,Dell,Latitude 5400,Intel Core i5-8365U,6.0,16.0,240.0,1366x768,Very Good,True,1270.0,3167.0,4.7,11.7,https://www.itjustgood.com/pc-portable-reconditionne-dell-latitude-5400-i5-8365u-16go-ddr4-ssd-240go-windows-11-14-pouces-hd-03td6426.html
Dell Latitude 3400,280.0,Dell,Latitude 3400,Intel Core i5-8365U,6.0,16.0,240.0,1920x1080,Very Good,True,1270.0,3167.0,4.5,11.3,https://www.itjustgood.com/ultrabook-reconditionne-dell-latitude-3400-i5-8365u-16go-ssd-240go-14pouces-fhd-windows11-03td6279.html
Latitude 5410 240GB VGood,400.0,Dell,Latitude 5410,Intel Core i5-10310U,5.0,16.0,240.0,1920x1080,Very Good,True,1297.0,3450.0,3.2,8.6,https://www.itjustgood.com/ordinateur-portable-reconditionne-dell-latitude-5410-intel-core-i5-10310u-16go-ddr4-240go-ssd-14-pouces-fhd-windows-11-03td7023.html
Lenovo ThinkPad T490S,310.0,Lenovo,ThinkPad T490S,Intel Core i5-8365U,6.0,16.0,500.0,1920x1080,Good,True,1270.0,3167.0,4.1,10.2,https://www.itjustgood.com/ultrabook-lenovo-thinkpad-t490s-reconditionne-intel-core-i5-8365u-16go-ddr4-500go-ssd-thunderbolt-3-windows-11-14-full-hd-0btd9611.html
T495S 500GB VGood,350.0,Lenovo,ThinkPad T495S,AMD Ryzen 5 PRO 3500U,6.2,16.0,500.0,1920x1080,Very Good,True,949.0,2620.0,2.7,7.5,https://www.itjustgood.com/ultrabook-reconditionne-lenovo-thinkpad-t495s-amd-ryzen-5-pro-3500u-16go-ddr4-500go-ssd-14-fullhd-windows11-03td6844.html
Dell Latitude 5410,330.0,Dell,Latitude 5410,Intel Core i5-10310U,5.0,16.0,240.0,1366x768,Good,True,1297.0,3450.0,3.9,10.5,https://www.itjustgood.com/ordinateur-portable-reconditionne-declasse-dell-latitude-5410-intel-core-i5-10310u-16go-ddr4-ssd-240go-ssd-14-pouces-windows-11-0btd9222.html
Latitude 5410 240GB Good,300.0,Dell,Latitude 5410,Intel Core i5-10310U,5.0,16.0,240.0,1920x1080,Good,True,1297.0,3450.0,4.3,11.5,https://www.itjustgood.com/ordinateur-portable-reconditionne-dell-latitude-5410-intel-core-i5-10310u-16go-ddr4-240go-ssd-14-pouces-fhd-windows-11-etat-correct-0btd9232.html
Lenovo ThinkPad T490S,360.0,Lenovo,ThinkPad T490S,Intel Core i5-8365U,6.0,16.0,500.0,1920x1080,Very Good,True,1270.0,3167.0,3.5,8.8,https://www.itjustgood.com/ultrabook-lenovo-thinkpad-t490s-reconditionne-intel-core-i5-8365u-16go-ddr4-500go-ssd-thunderbolt-3-windows-11-14-full-hd-03td5354.html
Latitude 5420 10th-gen 500GB Good,360.0,Dell,Latitude 5420,Intel Core i5-10310U,5.0,16.0,500.0,1920x1080,Good,True,1297.0,3450.0,3.6,9.6,https://www.itjustgood.com/ordinateur-portable-reconditionne-dell-latitude-5420-intel-core-i5-10310u-16go-ddr4-ssd-500go-ssd-14-pouces-windows-11-0btd9343.html
Dell Latitude 5420,500.0,Dell,Latitude 5420,Intel Core i5-1145G7,4.2,16.0,500.0,1366x768,Very Good,True,1766.0,4873.0,3.5,9.7,https://www.itjustgood.com/ordinateur-portable-reconditionne-dell-latitude-5420-intel-core-i5-1145g7-16go-ddr4-512go-ssd-14-pouces-windows-11-03td7053.html
EliteBook 640 G9 512GB VGood,650.0,HP,EliteBook 640 G9,Intel Core i5-1245U,3.2,16.0,500.0,1920x1080,Very Good,False,1964.0,6269.0,3.0,9.6,https://www.itjustgood.com/ultrabook-reconditionne-hp-elitebook-640-g9-intel-core-i5-1245u-16go-ddr4-500go-ssd-14pouces-fhd-windows-11-03td6974.html
